MDEC-23,MATS2v,ATSC8s,VE3_Dt,CrippenMR,SpMax7_Bhe,SpMin1_Bhs,C1SP2,GATS8e,GATS8s,SpMax5_Bhv,VE3_Dzi,VPC-4,Class
60.1757,-0.0231,-0.6667,-167.1241,0,3.4009,2.3109,4,1.0229,1.0575,3.5545,-15.594,4.1692,NonToxic
44.5031,-0.1236,-16.5096,-16.208,172.2,3.3611,2.1117,2,1.7155,1.7013,3.6066,-14.3317,2.0821,NonToxic
37.5488,0.0662,19.3467,-159.1796,173.4028,3.2705,2.0198,8,0.6992,0.7828,3.6441,-25.4493,2.873,NonToxic
40.5929,0.0714,-9.5672,-21.4416,177.2726,3.2748,2.0191,6,0.9951,1.0298,3.6564,-19.6376,3.0444,NonToxic
52.7343,-0.0861,-11.8892,-2.078,171.1315,3.4094,2.1664,2,0.7363,0.7427,3.5216,-8.2157,2.9469,NonToxic
52.3812,-0.0885,-5.4632,-150.1094,165.3539,3.243,2.0166,2,0.9038,0.884,3.6654,-159.1796,2.7131,NonToxic
56.0611,-0.0755,-27.9513,-154.141,170.362,3.3634,2.0638,4,1.1138,1.0788,3.432,-153.7582,2.9777,NonToxic
40.6558,-0.1118,12.4103,-5.2389,146.861,3.2286,2.1299,1,0.4525,0.6483,3.5081,-10.1782,2.4301,NonToxic
31.9506,-0.0834,-2.5748,-7.0184,122.4998,3.065,2.1792,3,1.72,1.7228,3.3155,-7.9593,0,NonToxic
35.6989,-0.081,-1.2364,-123.9632,135.4757,3.0814,2.0303,4,1.2051,1.1755,3.3043,-126.4585,2.4568,NonToxic
32.2745,0.0469,-16.1949,-133.8556,136.091,3.0399,1.8866,6,1.1013,0.9378,3.2767,-18.1513,2.1431,NonToxic
40.393,-0.0206,-7.2971,-7.3451,153.72,3.2543,2.0997,6,1.0447,1.0954,3.5709,-11.5899,2.4416,NonToxic
35.8397,-0.1271,-1.4314,-17.0606,138.144,2.9633,2.0809,1,0.9463,0.9802,3.5487,-3.5584,1.5404,NonToxic
32.6743,0.013,6.5294,-7.4389,134.8915,3.1259,1.9682,3,0.6175,0.7651,3.3041,-7.6888,2.5585,NonToxic
52.0187,-0.0833,14.2727,-2.7315,148.224,3.1155,2.0597,4,0.8224,0.6571,3.5641,-137.52,3.1324,NonToxic
44.7998,-0.0859,-8.9637,-13.9358,158.9844,3.243,1.9955,1,1.1836,1.625,3.5641,-15.3511,2.2108,NonToxic
49.4774,-0.0726,-59.1102,-8.148,164.8552,3.3556,1.9893,2,1.1996,1.3143,3.5706,-2.7721,2.9529,NonToxic
23.4488,0.2659,-110.8011,-134.5772,145.6294,3.2203,2.3475,0,1.566,1.6037,3.2935,-18.2903,3.9015,NonToxic
44.591,0.0148,-11.7945,-4.3749,170.728,3.3199,1.9607,3,0.6409,0.7348,3.5836,-10.9582,3.1316,NonToxic
65.0939,-0.0296,-48.9001,-18.0263,180.2179,3.3442,2.2187,3,2.209,1.9261,3.6586,-10.773,0,NonToxic
51.1057,0.0857,-6.2778,-11.1373,180.5565,3.376,2.0297,4,1.0927,1.2492,3.567,-3.8109,3.0838,NonToxic
36.9243,-0.0098,-5.7539,-18.5344,149.8797,3.1505,1.9602,3,1.1114,1.4821,3.4497,-7.3182,2.1578,NonToxic
47.536,-0.0404,25.4101,-20.9289,134.6085,3.1852,2.2248,2,0.7225,0.7231,3.3664,-13.5431,2.6644,NonToxic
39.6797,-0.0988,38.8724,-6.8185,138.1843,3.0967,2.0974,4,0.4535,0.4965,3.357,-5.2316,2.0163,NonToxic
34.789,0.0104,15.9442,-3.5543,149.22,3.438,2.0331,3,0.514,0.5023,3.4083,-7.7379,3.0905,NonToxic
35.8792,0.2305,-17.3232,-5.1932,163.4162,3.2766,2.1348,2,0.9098,0.8243,3.3929,-9.7484,3.954,NonToxic
30.2222,-0.0817,-28.2326,-27.4846,152.7576,3.3432,1.9431,6,1.1746,1.0021,3.5864,-14.9565,2.0748,NonToxic
47.975,-0.0612,93.5082,-9.6258,143.9222,3.3979,2.2673,5,0.863,0.8797,3.4398,-5.336,2.8261,NonToxic
51.4783,-0.0891,0.2782,-2.6974,162.6035,3.3965,2.1717,2,0.657,0.684,3.513,-6.5423,2.7627,NonToxic
39.853,-0.0918,16.2599,-139.5868,150.8584,3.1835,2.0073,0,0.8919,0.6782,3.5489,-139.7282,2.4767,NonToxic
36.4379,0.0681,-4.3142,-6.2701,121.315,2.9929,2.007,2,1.1395,1.2112,3.2087,-8.244,2.077,NonToxic
39.6365,0.0498,-1.2021,-144.129,177.693,3.2639,2.0935,2,0.8982,0.8252,3.5293,-28.8073,3.0143,NonToxic
54.58,0.0077,-9.1381,-2.3594,166.967,3.3915,2.1717,3,0.704,0.8124,3.5176,-6.0215,2.8921,NonToxic
46.3298,0.0404,-14.7878,-8.634,173.3785,3.3677,2.0446,4,1.3997,1.5228,3.566,-2.6569,2.8794,NonToxic
60.0166,0.0117,-48.7226,-7.1589,164.1497,3.3648,2.0084,2,1.1695,1.3158,3.5378,-7.2612,3.937,NonToxic
36.6323,-0.1162,-39.581,-9.9645,137.8637,3.0917,2.0366,5,1.0045,1.0523,3.3646,-8.0746,2.1645,NonToxic
40.1784,0.0112,-68.2571,-5.1773,159.349,3.3357,1.9804,2,1.628,1.6968,3.4964,-2.9501,2.5018,NonToxic
52.249,-0.0885,-28.8135,-5.2692,169.4775,3.3579,1.9488,3,1.3701,1.3532,3.6663,-4.7945,3.1002,NonToxic
30.0382,0.0442,4.1183,-6.7722,142.8927,3.0738,2.0944,3,1.1636,1.2206,3.3205,-8.1812,2.7556,NonToxic
34.5325,-0.0947,13.3295,-9.761,123.845,3.0169,2.0561,4,0.9827,1.1623,3.2315,-13.7789,1.8845,NonToxic
51.3093,-0.0885,-13.1022,-152.7763,165.3539,3.227,2.0164,2,0.9665,0.9345,3.6653,-147.2642,2.726,NonToxic
41.1121,0.0595,-63.8953,-3.9895,163.7244,3.2781,2.0048,0,1.0424,1.1147,3.5163,-3.3785,2.9489,NonToxic
40.4145,0.0755,-0.9058,-2.9904,144.4535,3.1369,2.2194,1,1.2305,1.1848,3.3818,-2.2809,2.4603,NonToxic
43.2379,-0.0723,-12.9847,-129.93,140.4875,3.0919,2.0629,4,0.8821,0.9128,3.3215,-123.7028,2.5177,NonToxic
48.0809,-0.1106,-46.0827,-5.9365,141.9105,3.2686,2.0359,2,1.4909,1.5793,3.3562,-11.0446,3.0999,NonToxic
43.3655,-0.0635,3.4493,-9.16,173.075,3.3202,1.9958,4,0.9211,0.7393,3.6707,-6.9491,2.0446,NonToxic
38.5752,0.0235,5.2348,-6.9234,162.435,3.2562,2.0084,4,0.7188,0.6906,3.5379,-3.8455,2.572,NonToxic
31.647,0.0561,15.1672,-9.2996,140.502,3.1549,1.9752,3,0.7149,0.6769,3.3428,-4.0117,2.7095,NonToxic
65.256,0.0767,-6.6961,-153.3574,173.5768,3.4642,2.143,0,0.557,1.2861,3.6914,-33.0045,6.1854,NonToxic
57.6723,-0.0458,20.3301,-6.3425,174.476,3.2838,2.1689,1,1.5711,1.6353,3.6586,-15.1947,0,NonToxic
42.4795,0.0014,50.3199,-7.5178,141.6895,3.3057,2.0701,2,1.0559,1.0006,3.4307,-3.7648,2.8926,NonToxic
30.0905,0.0712,-11.2488,-5.0457,138.85,3.2498,2.07,1,0.9025,1.0157,3.4941,-5.8509,0,NonToxic
39.5589,-0.006,1.5773,-127.2618,148.922,3.4217,1.9489,6,0.8086,0.7965,3.3622,-25.0393,2.486,NonToxic
44.5792,0.0276,5.8118,-7.7393,162.163,3.2969,2.0413,4,0.9051,1.3653,3.5305,-5.8611,3.8027,NonToxic
30.4957,0.0364,-49.5511,-6.421,135.6957,3.0947,1.9997,3,1.5467,1.5595,3.4276,-3.5242,2.2842,NonToxic
43.1223,0.035,17.8252,-7.7709,155.971,3.2969,2.049,4,0.946,1.0998,3.5331,-4.8294,3.872,NonToxic
36.9645,0.0089,-2.7192,-8.5907,163.24,3.3526,2.1074,3,0.8408,0.7583,3.6966,-4.4798,2.8853,NonToxic
41.3221,-0.0223,-4.3255,-6.4277,177.5147,3.3677,2.0391,3,0.9294,0.7662,3.5364,-4.736,2.3753,NonToxic
42.0664,-0.1197,-16.5263,-5.1942,154.9175,3.3169,1.9529,3,0.7194,0.838,3.5731,-12.9875,2.5108,NonToxic
30.9405,0.0937,-14.2098,-5.9203,129.419,3.1369,1.9937,1,0.8232,0.8586,3.2798,-7.0536,3.1441,NonToxic
45.2616,-0.1251,-32.5,-10.0779,151.7935,3.2868,2.0358,3,1.4464,1.4471,3.3643,-6.8228,3.0972,NonToxic
42.7042,0.1063,-21.453,-9.1223,160.865,3.3677,2.0574,4,1.1156,1.0846,3.527,-3.8216,4.103,NonToxic
53.6621,-0.1039,-40.0314,-7.2167,156.4422,3.2033,2.1912,3,1.3103,1.3469,3.5365,-5.7532,3.3561,NonToxic
38.8355,0.0436,10.2286,-17.8757,163.6595,3.3686,1.9401,4,0.7244,0.5082,3.514,-3.6885,2.4778,NonToxic
43.1223,0.0019,-25.6536,-7.7709,161.008,3.2969,2.0451,4,1.0219,1.2778,3.53,-4.8873,3.9004,NonToxic
29.7847,0.1615,-41.8719,-17.6229,144.502,3.1941,2.0773,3,1.8459,1.9239,3.4754,-6.0551,3.3258,NonToxic
43.0391,0.1028,-36.7492,-8.4811,163.983,3.2969,2.0512,4,1.9666,2.2343,3.5336,-5.641,4.1832,NonToxic
35.7706,-0.0775,-27.7722,-140.3143,153.3029,3.2819,2.0581,4,1.3062,1.1219,3.3405,-138.8876,2.3191,NonToxic
52.6379,0.0033,-2.3333,-124.1464,139.0405,3.3599,2.0722,0,1.0084,1.0089,3.3336,-123.0024,2.7003,NonToxic
36.3919,-0.1483,6.6667,-134.9273,151.053,3.4092,2.044,6,0.5151,0.6285,3.5024,-130.911,1.542,NonToxic
45.9384,-0.1527,26.0292,-135.2224,157.3844,3.3457,2.0168,4,0.692,0.4825,3.6586,-22.8069,2.2029,NonToxic
46.1793,-0.145,-2.4438,-138.8013,173.091,3.4579,2.0823,3,0.7038,0.9071,3.7616,-20.8656,1.7718,NonToxic
52.9091,0.0017,-14.308,-2.1564,170.1075,3.4015,2.1691,2,0.7469,0.8155,3.5164,-6.6908,2.9259,NonToxic
30.0905,0.0712,-10.3235,-5.0336,138.85,3.2316,2.0697,1,0.8504,0.9599,3.4984,-7.4402,0,NonToxic
46.1239,-0.0287,-0.2431,-7.1441,173.644,3.3646,1.9852,5,0.9569,0.7133,3.6978,-6.1358,2.524,NonToxic
44.0116,-0.0063,30.8582,-13.1156,160.818,3.2805,1.99,3,0.7003,0.5625,3.6501,-12.3835,3.1442,NonToxic
40.3758,-0.1412,13.4473,-2.0671,147.3087,3.0787,2.0884,2,0.3215,0.5014,3.5481,-8.4884,1.821,NonToxic
41.9214,0.1931,-120.8036,-15.9048,153.4238,3.1634,1.9575,5,1.5104,1.5327,3.4652,-157.9682,3.6262,NonToxic
28.7875,0.0114,-9.9381,-10.1678,138.7324,3.2349,2.0258,2,1.4104,1.4491,3.3149,-8.1719,3.1609,NonToxic
28.782,-0.0786,65.7241,-6.8903,133.2871,3.2469,1.9791,1,0.8656,0.8688,3.4695,-4.8216,2.0865,NonToxic
42.5724,0.0047,18.1229,-6.098,167.8225,3.3597,2.0509,4,0.6969,0.543,3.5267,-4.5916,2.5,NonToxic
49.1622,0.034,-22.7631,-8.2628,177.9955,3.376,2.0399,4,1.4684,1.5488,3.5713,-2.8773,2.877,NonToxic
32.8945,0.1258,5.4356,-6.8881,146.964,3.1586,2.0812,2,0.8576,0.7575,3.3933,-5.0997,2.8235,NonToxic
39.8284,-0.1043,23.9211,-11.1583,145.2085,3.2261,1.9183,6,0.7479,0.8469,3.3242,-16.576,2.1448,NonToxic
26.0063,-0.0003,-100.6631,-4.7066,120.352,3.0307,1.9799,3,1.7827,1.7914,3.2369,-4.9358,1.8799,NonToxic
40.3072,0.0575,11.0331,-8.4659,167.5747,3.2896,2.0678,2,1.2348,1.2909,3.4308,-26.0347,2.5855,Toxic
41.2676,0.1,-11.2542,-13.8831,161.3547,3.3158,1.9983,3,1.2983,1.201,3.3912,-12.0032,2.6817,Toxic
42.4377,-0.0349,-1.1667,-9.3553,151.6457,3.3152,2.1599,2,2.3529,2.541,3.336,-13.1556,2.3773,Toxic
34.563,-0.052,-19.2829,-17.0583,137.4745,3.176,2.1071,0,1.249,0.9985,3.2042,-122.3279,2.9864,Toxic
40.833,0.0386,11.139,-167.7416,168.964,3.2928,1.9751,4,0.6832,0.7356,3.6499,-30.2568,3.1506,Toxic
35.4194,0.0345,-3.0521,-14.5915,140.3597,3.1063,2.0321,1,1.2965,1.1971,3.304,-15.7669,1.967,Toxic
34.9148,-0.0208,-25.5791,-135.7558,135.6725,3.1567,1.953,0,0.9951,1.0391,3.529,-129.9268,2.3818,Toxic
44.1374,-0.0726,-30.7919,-148.0979,146.4845,3.174,2.0215,4,1.2154,1.1343,3.396,-140.1282,2.4592,Toxic
56.1006,-0.0476,-6.0779,-139.5377,0,3.3886,2.1877,4,0.6813,0.7872,3.4128,-35.4799,3.238,Toxic
40.9457,-0.0508,-32.8018,-5.5413,157.1667,3.2867,2.088,4,1.442,1.9702,3.3636,-10.7937,2.9475,Toxic
44.0116,-0.0986,46.5987,-13.1156,155.589,3.2576,1.9759,3,0.7763,0.6988,3.6452,-11.4754,2.9048,Toxic
48.4779,0.0702,-4.697,-12.1321,170.4985,3.3624,2.0361,3,1.0947,1.373,3.5545,-3.3217,2.8666,Toxic
37.5298,0.0349,-18.726,-129.4541,137.607,3.1581,1.9755,0,1.6262,1.5364,3.5371,-29.6885,2.7366,Toxic
54.8677,-0.0755,-42.1596,-153.2399,170.362,3.3287,2.0565,4,1.4926,1.4489,3.4643,-151.2959,2.9403,Toxic
47.9243,0.0949,-1.7118,-11.5862,175.9395,3.3677,2.0342,4,1.1085,1.2671,3.5621,-3.5735,3.0863,Toxic
46.8619,-0.0297,-30.5705,-123.9632,148.5679,3.366,2.0521,2,1.6181,1.8204,3.3408,-127.2618,2.5824,Toxic
52.8794,-0.0268,-12.7182,-6.469,167.137,3.3529,2.069,2,1.3795,1.507,3.5255,-2.1412,3.4061,Toxic
48.9986,0.0966,-6.0873,-11.5359,160.4237,3.2458,2.1678,4,0.7857,0.7226,3.4567,-14.1937,2.926,Toxic
40.1328,-0.086,17.232,-122.775,139.659,3.201,2.0873,4,1.3656,1.6684,3.3884,-14.472,2.3934,Toxic
46.6635,-0.0669,-3.8498,-18.6288,152.063,3.2782,2.1262,3,1.0378,1.0799,3.4117,-3.9087,2.2957,Toxic
39.6079,0.0102,5.5017,-120.6084,132.2645,3.1936,2.0294,0,0.9408,0.963,3.1149,-120.9871,2.4827,Toxic
42.695,-0.1181,31.3279,-18.5622,142.3292,3.22,1.9812,3,0.6098,0.7008,3.3505,-13.0363,1.8355,Toxic
39.0073,-0.1328,7.2589,-148.766,161.2119,3.3164,1.9251,4,1.2129,0.9914,3.5639,-36.0202,2.1036,Toxic
46.4822,-0.132,27.6928,-5.1052,155.8237,3.3207,2.0436,3,0.9203,0.8511,3.3383,-6.561,3.0055,Toxic
31.0455,0.089,-13.7654,-6.1052,138.8037,3.1869,1.9939,3,1.1907,1.1837,3.4131,-3.6568,2.5448,Toxic
48.9891,-0.0756,-33.0658,-8.3966,159.3902,3.3505,1.9875,2,1.2571,1.4509,3.5685,-3.6427,2.9505,Toxic
38.6603,0.0246,-7.5478,-6.9434,164.4665,3.2779,2.1126,2,0.8394,0.971,3.5347,-4.5275,0,Toxic
34.6939,0.002,-35.4236,-4.9825,130.5887,3.2555,2.0577,1,1.2595,1.3664,3.3372,-7.0864,2.7979,Toxic
42.2191,-0.0296,-3.4702,-8.7158,157.5898,3.2002,2.0799,4,0.968,0.9414,3.5935,-9.3023,2.5298,Toxic
44.2499,0.0282,-2.4325,-14.1206,164.5,3.2875,1.9935,3,1.0943,0.9843,3.661,-10.5119,3.2746,Toxic
44.0546,-0.0055,-11.1941,-8.7932,158.606,3.2969,2.0614,4,1.2752,1.3193,3.5326,-4.8327,3.6644,Toxic
36.4437,0.0198,7.6783,-8.4647,154.6385,3.1507,2.0896,3,1.2392,1.4814,3.4575,-7.5187,2.4648,Toxic
34.8701,-0.0867,-37.5557,-140.5095,147.0043,3.3597,2.1304,2,0.5905,0.74,3.5743,-140.7146,2.9973,Toxic
42.7042,-0.0036,-12.0303,-7.6659,161.05,3.2969,2.0503,4,1.2749,1.4917,3.5285,-4.3107,3.7614,Toxic
45.6774,0.0173,-6.9706,-6.5804,169.091,3.3208,2.0377,4,1.0589,1.5317,3.5344,-5.3857,3.8004,Toxic
41.1182,-0.0137,-20.5218,-4.453,147.7859,3.138,2.0742,2,1.3262,1.488,3.6042,-17.5888,3.7546,Toxic
39.1519,-0.0575,19.8865,-6.3662,127.1097,3.1304,2.067,2,0.8546,1.2522,3.3109,-8.0226,2.0312,Toxic
41.2295,-0.0583,-14.2107,-11.733,143.9512,3.1742,2.0204,2,1.634,1.4328,3.4729,-9.8598,2.5642,Toxic
35.223,-0.0023,26.4,-125.1209,133.2928,3.1973,2.0763,0,0.9631,0.9685,3.1945,-127.2618,2.6777,Toxic
51.6137,-0.0891,-17.4732,-2.5536,162.6035,3.3963,2.1717,2,0.7453,0.8432,3.5106,-7.0208,2.7793,Toxic
50.1421,-0.0917,-8.6006,-3.286,156.254,3.372,2.1769,2,0.6597,0.8887,3.5034,-5.7097,2.5951,Toxic
40.8166,-0.0024,2.5403,-6.811,168.134,3.3524,2.0468,4,0.916,0.7555,3.5494,-3.9573,2.4004,Toxic
33.3718,0.0206,67.1245,-6.1569,153.2157,3.3136,2.0075,3,0.4147,0.5023,3.3634,-5.3031,2.2991,Toxic
48.9891,0.0151,-38.4809,-8.3966,159.4092,3.3581,2.0007,2,1.454,1.4716,3.5743,-3.7941,3.0445,Toxic
38.8164,-0.0347,-17.0007,-5.626,167.5635,3.4205,2.0922,4,1.2338,1.5115,3.5582,-13.3562,2.6472,Toxic
48.9891,-0.0836,-5.9512,-8.3966,154.1802,3.3514,1.9875,2,1.104,1.1539,3.5685,-3.8581,2.805,Toxic
38.5495,0.0422,-14.339,-2.9527,153.1375,3.2934,2.0562,3,1.0173,1.1419,3.4831,-3.0522,2.7329,Toxic
25.2882,0.1136,-56.6436,-6.2465,129.5627,3.2256,2.0895,3,1.9672,2.1997,3.3314,-3.8006,2.9752,Toxic
37.5447,0.0738,-4.8708,-4.1787,160.1315,3.2601,2.114,1,0.9673,0.9048,3.6184,-5.0774,3.0781,Toxic
38.87,0.0127,-18.7097,-5.583,153.2525,3.2842,2.0505,4,1.1979,0.9628,3.4601,-4.0111,2.0955,Toxic
46.2385,0.0233,5.7094,-6.9818,166.4072,3.3657,2.0775,3,0.9983,1.0724,3.5008,-6.5965,2.8105,Toxic
41.6328,-0.0187,7.4029,-8.5109,146.2045,3.1573,2.0723,2,0.8977,0.8907,3.5844,-3.0625,2.3413,Toxic
37.0979,-0.0771,6.7188,-16.604,146.7977,3.1505,1.9569,3,0.8583,1.0681,3.4488,-8.0374,1.6635,Toxic
50.9941,-0.0885,70.2585,-154.141,165.3539,3.2697,2.0122,2,0.7051,0.62,3.6665,-153.9454,2.6711,Toxic
23.6094,0.0127,-41.2565,-9.5761,111.9477,3.2329,1.8709,0,1.0227,1.0197,3.1386,0,1.6859,NonToxic
7.8612,0.0026,5.0306,-3.7081,67.9057,2.394,1.9099,3,0.6815,0.2319,2.8051,-3.2763,0.821,NonToxic
25.1747,-0.0191,-21.0939,-4.7814,129.3109,3.1403,2.0453,2,1.2814,1.1326,3.2717,-3.5767,1.6925,NonToxic
31.9875,-0.0404,37.4314,-4.6602,145.2756,3.3088,1.9178,3,0.9007,0.7993,3.3033,-18.6217,1.5276,NonToxic
14.9505,-0.0436,-9.7299,-5.7152,68.656,2.3661,2.0641,0,3.2349,4.223,2.5173,-6.1456,1.0725,NonToxic
14.9505,0.0156,-3.755,-5.7152,69.4004,2.4666,2.0641,0,1.1581,2.0807,2.5189,-5.6756,1.0848,NonToxic
22.5401,0.1497,15.0583,-6.6476,150.5027,3.1269,1.8982,5,0.9201,0.9087,3.3715,-4.6699,3.8021,NonToxic
32.9063,-0.0414,39.8018,-12.9891,129.8947,3.1672,2.0862,3,0.8353,0.8331,3.2245,-5.5384,1.9756,NonToxic
24.5944,0.024,12.1998,-8.1455,131.2339,3.1935,1.9746,3,0.704,0.8197,3.252,-6.7227,2.7586,NonToxic
32.6125,-0.0102,26.6618,-7.6468,134.1382,3.3294,2.0451,4,1.0735,1.0596,3.4105,-12.2404,2.75,NonToxic
30.8363,0.0207,92.5703,-8.1356,123.0387,3.2674,2.0775,2,0.695,0.6407,3.3714,-9.3273,3.0061,NonToxic
24.1006,-0.0555,-27.5187,-7.4418,129.8004,3.2151,1.8874,6,1.0768,1.1092,3.3216,-4.6172,1.4969,NonToxic
25.2822,0.1166,-3.3784,-4.1739,124.6238,3.1395,2.0294,2,1.0053,1.0306,3.1108,-7.8466,3.2931,NonToxic
34.2818,-0.0076,-14.4704,-6.7437,144.6195,3.2,1.933,2,1.0716,1.2138,3.3902,-5.2907,2.5659,NonToxic
34.2818,-0.0071,-37.9715,-6.89,151.4827,3.2852,1.9336,2,1.1348,1.2018,3.4016,-4.9629,2.664,NonToxic
33.4578,-0.0108,4.44,-6.9768,143.1042,3.2178,1.9504,4,0.9193,1.0074,3.4198,-5.3394,2.4888,NonToxic
33.863,-0.0074,-32.2854,-7.5067,155.3347,3.3058,1.9187,2,0.98,1.1027,3.389,-5.4974,2.5406,NonToxic
27.3803,0.0795,-32.0598,-15.6999,140.1315,3.1284,1.9457,3,1.39,1.699,3.4266,-6.837,2.4657,NonToxic
18.6832,0.2849,49.336,-4.9832,122.0813,3.0223,2.0324,3,0.554,0.5014,3.2735,-9.2151,3.4681,NonToxic
31.9002,0.0572,1.298,-18.7323,118.0314,3.0455,2.0172,0,0.9934,0.994,3.1744,-9.2807,2.2046,NonToxic
24.2566,0.1485,-32.9487,-10.2423,130.4974,3.2301,2.0187,6,1.0219,0.96,3.3264,-5.9609,3.4978,NonToxic
31.283,0.0049,8.0498,-8.856,129.6942,3.1645,1.9021,3,1.2854,1.2004,3.2839,-5.8321,1.9653,NonToxic
37.4368,-0.0679,4.5906,-13.7147,143.1954,3.071,2.0423,0,1.2343,0.8127,3.3345,-7.0356,2.2976,NonToxic
11.8619,0.1839,-12.8963,-6.9644,68.636,2.4419,1.9812,0,4.2999,3.7373,2.9097,-5.3325,1.5957,NonToxic
31.588,0.131,-29.4955,-4.311,142.6533,3.1453,1.9691,1,1.2658,1.4751,3.2787,-3.8909,2.8394,NonToxic
32.9174,0.0176,-10.2102,-3.9519,130.8423,3.0822,1.927,1,1.1553,1.2063,3.2152,-3.7113,2.5144,NonToxic
31.588,0.1234,-39.8062,-4.311,137.6013,3.1453,1.9687,1,1.2372,1.3618,3.2787,-3.8676,2.7037,NonToxic
13.6305,-0.1231,-3.1521,-2.9706,71.9807,2.4269,2.0708,1,1.0932,0.7954,2.8103,-4.3924,0.7136,NonToxic
33.1806,-0.0486,-7.2825,-4.0095,125.0777,3.004,2.0701,3,1.0687,0.985,3.256,-4.4435,1.6616,NonToxic
28.357,-0.0726,8.0017,-3.2338,133.7697,3.2468,1.9242,2,1.3249,0.9103,3.2822,-5.5907,1.9339,NonToxic
26.4286,0.042,-32.5992,-7.0649,144.0674,3.2089,1.9162,4,1.3001,1.2687,3.2904,-3.537,2.0526,Toxic
9.8829,0.1044,59.038,-2.5619,53.691,2.2471,2.0006,1,0.2076,0.272,2.5034,-3.2052,0.9563,Toxic
